EBAW,Antwerp International Airport (Deurne),Antwerp,Belgium,51.189399719200004,4.46027994156,Europe/Brussels
EBBE,Beauvechain Air Base,Beauvechain,Belgium,50.75859832763672,4.768330097198486,Europe/Brussels
EBBL,Kleine Brogel Air Base,Kleine Brogel,Belgium,51.168301,5.47,Europe/Brussels
EBBR,Brussels Airport,Brussels,Belgium,50.9014015198,4.48443984985,Europe/Brussels
EBBX,Jehonville Air Base,Bertrix,Belgium,49.8917007446289,5.223889827728272,Europe/Brussels
EBCI,Brussels South Charleroi Airport,Charleroi,Belgium,50.459202000000005,4.4538199999999994,Europe/Brussels
EBCV,Chièvres Air Base,Chievres,Belgium,50.57580184936523,3.8310000896453857,Europe/Brussels
EBFN,Koksijde Air Base,Koksijde,Belgium,51.09030151367188,2.652780055999756,Europe/Brussels
EBFS,Florennes Air Base,Florennes,Belgium,50.2433013916,4.64583015442,Europe/Brussels
EBKT,Wevelgem Airport,Kortrijk-vevelgem,Belgium,50.817199707,3.2047200202900004,Europe/Brussels
EBLG,Liège Airport,Liege,Belgium,50.63740158081055,5.443220138549805,Europe/Brussels
EBOS,Ostend-Bruges International Airport,Ostend,Belgium,51.1988983154,2.8622200489,Europe/Brussels
EBSL,Zutendaal Air Base,Zutendaal,Belgium,50.9474983215332,5.590559959411621,Europe/Brussels
EBST,Brustem Airfield Sint Truiden,Sint-truiden,Belgium,50.791901,5.20167,Europe/Brussels
EBSU,Saint Hubert Air Base,St.-hubert,Belgium,50.034400939941406,5.440810203552246,Europe/Brussels
EBUL,Ursel Air Base,Ursel,Belgium,51.14419937133789,3.475559949874878,Europe/Brussels
EBWE,Weelde Air Base,Weelde,Belgium,51.394798278808594,4.9601898193359375,Europe/Brussels
EBZR,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,51.264702,4.75333,Europe/Brussels
EDAB,Flugplatz Bautzen,Bautzen,Germany,51.193611,14.519722,Europe/Berlin
EDAC,Altenburg-Nobitz Airport,Altenburg,Germany,50.981945,12.506389,Europe/Berlin
EDAD,Dessau Airfield,Dessau,Germany,51.831694,12.190961999999999,Europe/Berlin
EDAE,Eisenhüttenstadt Airfield,Eisenhuettenstadt,Germany,52.195856,14.58753,Europe/Berlin
EDAK,Großenhain Airport,Suhl,Germany,51.30805587768555,13.555556297302244,Europe/Berlin
EDAM,Merseburg Airport,Muehlhausen,Germany,51.3630556,11.940833300000001,Europe/Berlin
EDAQ,Halle-Oppin Airport,Halle,Germany,51.552223,12.053889,Europe/Berlin
EDAU,Riesa-Göhlis Airport,Riesa,Germany,51.293609619099996,13.3561105728,Europe/Berlin
EDAX,Rechlin-Lärz Airport,Rechlin-laerz,Germany,53.306388855,12.7522220612,Europe/Berlin
EDAY,Strausberg Airport,Strausberg,Germany,52.5805549621582,13.916666984558105,Europe/Berlin
EDAZ,Schönhagen Airport,Schoenhagen,Germany,52.203609,13.156389,Europe/Berlin
